id,excerpt
319750,"Extremely useful overview indeed! Thanks! Now it’s time to add some of them to our calendars, isn’t it 🙂
"
319575,"As a TIA subscriber, do we need to RSVP or can directly go to venue for Tech in Asia Pitch Night."
319475,Please RSVP directly to me for interest in joining us for FSTECAsia (Where Foodservice meets Technology) - Nov 3-7 at Marina Bay Sands.  Mburkette@winsightmedia.com 
319389, Can you please share the list. Thanks
319266,possible to share please? keen to find out more
318778,Thanks for providing!!
318650,Thanks for this list Terrence Lee. 😘
318105,Looking forward to these events!
317814,"Terence, good to see that you had shared those events with us. Though, I'm not in Singapore but I had already shared them with my friends in Singapore...."
317481,"Thanks Terence, a very useful piece of work :) "
320247,"Hi Jack, this is good reporting on TikTok expanding into this part of Asia. 
In your opinion, do you think this will help in solving the regulator issues in the west and what other ways they could increase trust into the platform?
Thanks, Darren "
320538,"Uber needs to convince the world they can show a profit, something they have never done before, Shutting down the office in sg is the call of management."
320238,"Vietnam is an amazing market and we will definitely see more funding news in the coming years. 
"
317403,Interesting mix of Pinyin & Latin brand names.This is the future as dictated by  Google Baidu WeChat FB generations be it brands or lead generation the mix will become global generic terms/ words as will new tech terms CyberSuo CyberAnaquan CryptoHuobi etc 
320378,"It is a challenging time for the startups and investors to survive during the covid-19 outbreak, where there is a job loss, many companies are going for salary paycut of employees as the lockdown along with high price of oil in the west has resulted in  a virtual collaspe of econ..."
320508,nnn[Image: alert(1);]nnn
320504,aaa[Image: alert(1);]a
320502,Pp
320298,I think they breached stupidity rules. Who ever thought this was a functional business after so many similar businesses failed miserably really wasn't doing their homework. 
320481,This would be great  . But it could  take time to be implemented and  i can definitely say it could encourage the people to understand & make some better investment decisions. 
320270,"Hey Terence, we enjoyed hosting you at our humble abode and capturing your moves while atop our Model 0. Here's our sister article of your visit to complement your feature! 
https://ionmobility.substack.com/p/bridging-electric-motorbikes-to-southeast"
320240,"This is a great list! Thanks TIA for sharing the insights with the community. 
East Ventures seem to stand out the most with 50 deals in the last 24 months, as compared to the next guy who has 19 deals. That's amazing for Indonesia. "
319329,"The headline in the email is ""These are the most active investors in Singapore’s startups"", but the article content is about investors in China startups. There have been a few times when the link in a headline leads to a different story
"
