id,Organisations,Locations
654144,"['GangnamUnni', 'HealingPaper', 'Microsoft', 'TradeGecko', 'Alibaba', 'Iloom', 'Foursquare', 'Crunchbase', 'Quickbooks', 'SoftBank', 'Intuit']","['US', 'Singapore', 'Akerun', 'Asia', 'Vietnam', 'India', 'Yipin', 'Japan', 'Indonesia', 'China']"
654131,"['WeMall', 'Chearavanont', 'Shopee', 'Commerce', 'Reuters']","['Chilindo', 'Sea', 'Malaysia', 'Lazada', 'Alibaba', 'Thailand', 'China']"
654112,"['ESOP', 'Microsoft', 'AI', 'Gojek', 'Facebook', 'TikTok', 'WeWork', 'Google', 'GoPay']","['US', 'Singapore', 'AI', 'Asia', 'UK', 'Europe', 'YouTube', 'Israel', 'India', 'GoPay', 'Indonesia', 'China']"
651243,[],['Asia']
653612,"['Trump', 'Disney', 'app', 'Microsoft', 'Douyin', 'Google', 'Apple', 'ByteDance']","['US', 'Shanghai', 'Europe', 'India', 'China']"
653966,"['Facebook', 'digital', 'Bain']","['Singapore', 'Bain', 'Philippines', 'Malaysia', 'Vietnam', 'Thailand', 'Indonesia']"
654044,"['Trump', 'app', 'Microsoft', 'TikTok', 'Administration']","['US', 'India', 'China']"
653745,[],['roadmap']
653898,"['fintech', 'HardwareZone', 'Gojek', 'TradeGecko', 'MVCommerce', 'Bigo', 'Alibaba', 'JobStreet', 'Intuit']",['Singapore']
653948,"['Young', 'app', 'SaaS']","['Saurabh', 'Asia', 'India', 'Philippines', 'Thailand', 'Indonesia']"
653980,"['app', 'Microsoft', 'Reliance', 'Facebook', 'GoViet', 'Huya', 'ByteDance', 'Starbucks', 'Iflix', 'McDonald', 'GrabRewards']","['US', 'Russia', 'AI', 'Asia', 'Canada', 'Australia', 'India', 'Indonesia', 'Philippines', 'Japan', 'Thailand', 'Ukraine', 'China']"
653958,"['JPMorgan', 'app', 'Gojek', 'Facebook', 'Google', 'GoPay']","['Asia', 'Indonesia', 'GoPay']"
653997,"['Payfazz', 'Credibook']","['Asia', 'Indonesia']"
487442,[],"['Asia', 'China']"
653945,"['Byju', 'Osmo', 'app', 'WhiteHat']","['Mumbai', 'US', 'Edtech', 'Byju', 'Canada', 'UK', 'India', 'Australia']"
653696,"['Facebook', 'Privitar', 'Healthcare', 'Equifax', 'Tech', 'Deloitte']",['Asia']
653882,"['Leflair', 'WeWork']","['Airbnb', 'VC', 'Asia', 'Wirecard', 'Valley', 'Vietnam']"
653872,"['ESOP', 'fintech', 'Microsoft', 'Gojek', 'Facebook', 'TradeGecko', 'Ola', 'QuickBooks', 'AutoInvest', 'Shopee', 'Lazada', 'Alibaba', 'CTO', 'Intuit']","['US', 'Singapore', 'Russia', 'MakeMyTrip', 'Goibibo', 'Indonesia', 'China']"
653844,"['app', 'Gojek', 'GoSend', 'GoViet', 'GoFood']","['Singapore', 'Hanoi', 'Vietnam', 'GoBike', 'Thailand', 'Indonesia']"
653817,"['USD', 'fiat', 'Mastercard', 'TFS', 'DGDA', 'Citibank', 'app', 'USDT', 'Network', 'Toyota', 'Apple', 'Hasegawa', 'Fiat', 'Plasma', 'Group', 'AliPay', 'TrueMoney', 'PromptPay', 'Synqa', 'ETH', 'GrabRewards', 'SME', 'Facebook', 'CyberSource', 'CyberSouce', 'Visa', 'Starbucks', 'Ethereum', 'Lazada']","['US', 'Singapore', 'Asia', 'Adyen', 'UK', 'Synqa', 'Japan', 'BitPay', 'Thailand', 'Hasegawa', 'Omise']"
653801,"['Gojek', 'Tokopedia', 'Oyo', 'ThoughtWorks']","['Asia', 'India']"
653679,"['Nasdaq', 'AI']","['US', 'Singapore', 'AI', 'Asia', 'Calico', 'China']"
653732,"['Microsoft', 'State', 'Apple', 'SIM', 'TIS', 'ByteDance', 'Grab']","['US', 'Singapore', 'Shanghai', 'Byju', 'Korea', 'China']"
653721,"['SMB', 'CRM', 'Young', 'SMBs', 'Tech', 'Salesforce']","['Asia', 'Singapore', 'Pacific']"
653669,"['ESOP', 'Bukalapak', 'Tokopedia', 'LinkedIn', 'Twitter', 'Shopee', 'pioneer', 'Lazada', 'Adji', 'Putranto', 'LegalGo']","['Singapore', 'Asia', 'Tokopedia', 'Tech', 'Jakartan', 'Indonesia']"
653695,"['TradeGecko', 'QuickBooks', 'Intuit']","['Asia', 'US', 'Singapore']"
653684,"['fintech', 'GrabPay', 'GrabInvest', 'AutoInvest', 'PayLater', 'Grab']","['Singapore', 'Malaysia']"
527331,[],['Asia']
653378,"['USVP', 'Microsoft', 'LG', 'Facebook', 'Meritech', 'DFJ', 'Google']","['Capricorn', 'Yammer']"
653257,"['XAG', 'Taranis', 'OurCrowd', 'Finistere', 'iAngels', 'Salesforce']","['US', 'Russia', 'Myanmar', 'AI', 'Asia', 'Canada', 'Australia', 'Philippines', 'Indonesia', 'Thailand', 'Ukraine']"
653640,"['Traveloka', 'Apple', 'Microsoft', 'Facebook', 'Gojek', 'Alipay', 'Sendo', 'FYI', 'Alibaba', 'ByteDance', 'Nasdaq', 'EMQ']","['US', 'Singapore', 'Shanghai', 'Gojek', 'Tokopedia', 'Alipay', 'Sea', 'Sendo', 'India', 'Beijing', 'Malaysia', 'Vietnam', 'Indonesia', 'Grab', 'China']"
653639,"['Microsoft', 'Experian', 'Gojek', 'Toyota', 'SoftBank']","['Asia', 'Singapore', 'China']"
